"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"3ème DEGRE","Investissements matériels (compression volumétrique, prototypage haute fréquence,...)",325000,48750,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Compétitivité régionale - FEDER - Limousin","8","Autres investissements en entreprises"
"abc engineering","Outil informatique de suivi et de gestion du PLIE",1193.61,1193.61,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE / TULLE / TULLE / TULLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ABCS","Extension de bâtiment à usage professionnel",219178.73,25205.55,"FEDER ","LIMOUSIN","HAUTE-VIENNE / ROCHECHOUART / SAINT-JUNIEN / SAINT-JUNIEN","Compétitivité régionale - FEDER - Limousin","8","Autres investissements en entreprises"
"ACL 23","Acquisition d'une plieuse et d'une table de découpe",418000,73150,"FEDER ","LIMOUSIN","CREUSE / GUERET / SOUTERRAINE / LA SOUTERRAINE","Compétitivité régionale - FEDER - Limousin","8","Autres investissements en entreprises"
"ACTION CPV","Table de découpe numérique et divers matériels",119647,17947.05,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES-PANAZOL / FEYTIAT","Compétitivité régionale - FEDER - Limousin",,
"ACTIONS ENTREPRISE","PLATEFORME D'APPRENTISSAGE LINGUISTIQUE ET D'INSERTION PROFESSIONNELLE",166606.16,50000,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTIONS ENTREPRISE","Plateforme d'Apprentissage Linguistique et d'Insertion Professionnelle (PALIP N°6)",76035.84,35867,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADAM","Construction d'un bâtiment de production bois et d'un atelier logistique",2253145,225314.5,"FEDER ","LIMOUSIN","CREUSE / GUERET / SOUTERRAINE / SAINT-AGNANT-DE-VERSILLAT","Compétitivité régionale - FEDER - Limousin","8","Autres investissements en entreprises"
"ADAM","Construction d'un bâtiment de stockage et de production",355581.69,35558.16,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Compétitivité régionale - FEDER - Limousin","8","Autres investissements en entreprises"
"ADAM","Investissements en matériel productif",2273598,227359.8,"FEDER ","LIMOUSIN","CREUSE / GUERET / SOUTERRAINE / SAINT-AGNANT-DE-VERSILLAT","Compétitivité régionale - FEDER - Limousin","8","Autres investissements en entreprises"
"ADAMS","Fonds Local Formation 2008 : Technicien de Spectacle cycle de 2 ans",1948.39,1948.39,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"A.D.E.R. AIDE A LA MOBILITE","Action DROM'ADER 2008",3937.5,3937.5,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"A.D.E.R. AIDE A LA MOBILITE","Action DROM'ADER 2009",6500,6500,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"A.D.E.R. AIDE A LA MOBILITE","Action mobilité",22867,7875,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AD GEST 87  Les Papillons Blancs ","Chantier d'insertion adapté aux travailleurs handicapés",65229,35000,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AD GEST 87  Les Papillons Blancs ","Chantier d'insertion adapté aux travailleurs handicapés 2009",107526,59139,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFIC CFAI","Améliorer la qualité des pratiques pédagogiques dans l'apprentissage 2009",90444.45,40700,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AFIC CFAI","Qualité dans l'apprentissage 2007",73997.29,33298.78,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AFIC CFAI","qualité dans l'apprentissage - 2008",73333.33,33000,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AFIL","Chantier d'Insertion Chalucet",97131.47,4500,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFIL","Chantier d'insertion Châlucet 2008",202267,14500,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFIL","Chantier d'insertion Cuisine Exotique",126901.17,5000,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFIL","Chantier d'insertion Cuisine Exotique 2008",298326,30000,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFIL","Chantier d'insertion Entretien du patrimoine naturel de la ville de limoges",91960.33,2600,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFIL","Chantier d'insertion Entretien du Patrimoine Naturel de la Ville de Limoges 2008",187666.96,9600,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFIL","Chantier d'insertion Jardin de Flore",102131.85,5000,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFIL","Référent de parcours PLIE ",13832.38,3832.38,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFIL","Référent de parcours  PLIE 2008",28272.29,28272.29,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFPA Limoges Romanet","CPPI - Formations aux métiers de l'industrie 87 et 23 - 1er semestre 2009",510072,229532.4,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"AFPA Limoges Romanet","Formation aux métiers de l'industrie (23 et 87)",787890,354550.5,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"AFP BTP du Limousin","Démarche qualité dans l'apprentissage - 2008",446877.78,201095,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AFP BTP du Limousin","Qualité dans l'apprentissage 2007",431154.13,194019.36,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AFPI Limousin","CPP de la céramique et du verre",183998,82799.1,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"AFPI Limousin","CPP de la Céramique et du Verre - 1er semestre 2009",132607,59673.15,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"AFT FC","Fonds Local Formation 2008 : Cariste plus + CACES 3 et 5",347,347,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFT FC","Fonds Local Formation 2008 : Formation initiale de base transports de matières dangereuses",250,250,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFT FC","Fonds Local Formation 2008 : Formation initiale de base transports de matières dangereuses",300,300,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AGEFOS PME","Dispositif d'actions collectives PASS FORMATION",190000,85500,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGEFOS PME","PASS FORMATION 2009",190000,85500,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGEFOS PME","Réactivation des savoirs de base",19500,8775,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Agence Nationale pour l'Emploi","Accompagnement des demandeurs d'emploi non indemnisés présentant un risque élevé de chômage de longue durée",1200000,600000,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Agence Nationale pour l'Emploi","Accompagnement des personnes handicapées orienté vers le marché du travail du bassin de limoges en partenariat avec les entreprises et PRITH",82901.8,41450.9,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Agence pour la Valorisation de la Recherche Universitaire du Limousin (AVRUL)","FILTRAMEMS",598974,214289.28,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Compétitivité régionale - FEDER - Limousin",,
"Agence pour la Valorisation de la Recherche Universitaire du Limousin (AVRUL)","Projet MECANOS - Structuration de compétences en logiciels sécurisés embarqués  - cartes à puces pour programme",118000,47200,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Compétitivité régionale - FEDER - Limousin",,
"Agence pour la Valorisation de la Recherche Universitaire du Limousin (AVRUL)","Projet XRAD - Développer, produire et exploiter des moyens de mesure et de contrôle de l'activité volumique du radon adaptés aux besoins de marchés naissants",306448.56,139286.5,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Compétitivité régionale - FEDER - Limousin",,
"AGRO QUALITE SERVICE","Accompagnement pour l'obtention de l'accréditation COFRAC",18755,4688.75,"FEDER ","LIMOUSIN","CORREZE / TULLE / EGLETONS / EGLETONS","Compétitivité régionale - FEDER - Limousin","7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"AGRO QUALITE SERVICE","Acquisition de matériels de laboratoire",28598.72,5004.78,"FEDER ","LIMOUSIN","CORREZE / TULLE / EGLETONS / EGLETONS","Compétitivité régionale - FEDER - Limousin","7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"AIADPA","Aide aux postes d'une entreprise d'insertion de Corrèze",87129,38724,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AIADPA","aide aux postes en entreprise d'insertion ",67767,29043,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE / TULLE / TULLE-CAMPAGNE-SUD / LAGUENNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"A. I. L. E. Association Incubateur Limousin d'Entreprises","Accompagnement de porteurs de projet de création d'entreprises innovantes (1er semestre 2008)",246275,66425,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Compétitivité régionale - FEDER - Limousin","1","Activités R&DT dans centres de recherche"
"A. I. L. E. Association Incubateur Limousin d'Entreprises","Accompagnement de porteurs de projets de création d'entreprise innovante du 01 07 07 au 31 12 07",246441.54,66425,"FEDER ","LIMOUSIN",,"Compétitivité régionale - FEDER - Limousin","1","Activités R&DT dans centres de recherche"
"A. I. L. E. Association Incubateur Limousin d'Entreprises","Allocation d'incubation Martial COULAUD",36696.36,18348.18,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Compétitivité régionale - FEDER - Limousin","74","Développer le potentiel humain dans le domaine de la recherche et l'innovation, en particulier par des études de 3ème cycle"
"AIRELLE","Objectif création",272800,136400,"FEDER ","LIMOUSIN",,"Compétitivité régionale - FEDER - Limousin",,
"AIRELLE","Objectif Création 2008-2009",832000,416000,"FEDER ","LIMOUSIN",,"Compétitivité régionale - FEDER - Limousin",,
"ALEAS","Accompagnement d'au moins 25 % des postes du chantier d'insertion multi activités dans le cadre du PLIE rural de Haute-Vienne",35919.52,19288.78,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ALEAS","Auto-Ecole Sociale 2008",50000,7430,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
