nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",FONDOS BIBLIOGRÁFICOS DE USO A DISTANCIA,"14.269,57",14269.57,"11.991,37",11991.37,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",FONDOS BIBLIOGRÁFICOS DE USO A DISTANCIA,"30.039,97",30039.97,"25.243,96",25243.96,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",FONDOS BIBLIOGRÁFICOS DE USO A DISTANCIA,"2.111,27",2111.27,"1.774,20",1774.20,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",FONDOS BIBLIOGRÁFICOS DE USO A DISTANCIA,"28.970,73",28970.73,"24.345,43",24345.43,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",FONDOS BIBLIOGRÁFICOS DE USO A DISTANCIA,"31.626,34",31626.34,"26.577,06",26577.06,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",FONDOS BIBLIOGRÁFICOS DE USO A DISTANCIA,"14.005,18",14005.18,"11.769,17",11769.17,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",FONDOS BIBLIOGRÁFICOS DE USO A DISTANCIA,"39.632,09",39632.09,"33.304,64",33304.64,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",FONDOS BIBLIOGRÁFICOS DE USO A DISTANCIA,"1.998,52",1998.52,"1.679,43",1679.43,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",FONDOS BIBLIOGRÁFICOS DE USO A DISTANCIA,"13.799,10",13799.10,"11.596,01",11596.01,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",FONDOS BIBLIOGRÁFICOS DE USO A DISTANCIA,"48.570,98",48570.98,"40.816,41",40816.41,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SOPORTE TÉCNICO DE FONDOS BIBLIOGRÁFICOS A DISTANCIA,"7.935,73",7935.73,"4.068,64",4068.64,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SOPORTE TÉCNICO DE FONDOS BIBLIOGRÁFICOS A DISTANCIA,"1.440,58",1440.58,"738,58",738.58,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SOPORTE TÉCNICO DE FONDOS BIBLIOGRÁFICOS A DISTANCIA,"3.032,66",3032.66,"1.554,85",1554.85,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SOPORTE TÉCNICO DE FONDOS BIBLIOGRÁFICOS A DISTANCIA,"213,14",213.14,"109,28",109.28,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SOPORTE TÉCNICO DE FONDOS BIBLIOGRÁFICOS A DISTANCIA,"2.924,73",2924.73,"1.499,51",1499.51,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SOPORTE TÉCNICO DE FONDOS BIBLIOGRÁFICOS A DISTANCIA,"3.192,83",3192.83,"1.636,96",1636.96,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SOPORTE TÉCNICO DE FONDOS BIBLIOGRÁFICOS A DISTANCIA,"1.413,89",1413.89,"724,90",724.90,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SOPORTE TÉCNICO DE FONDOS BIBLIOGRÁFICOS A DISTANCIA,"4.001,04",4001.04,"2.051,33",2051.33,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SOPORTE TÉCNICO DE FONDOS BIBLIOGRÁFICOS A DISTANCIA,"201,76",201.76,"103,44",103.44,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SOPORTE TÉCNICO DE FONDOS BIBLIOGRÁFICOS A DISTANCIA,"1.393,08",1393.08,"714,23",714.23,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SOPORTE TÉCNICO DE FONDOS BIBLIOGRÁFICOS A DISTANCIA,"4.903,46",4903.46,"2.514,01",2514.01,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS DE TUTORIZACIÓN A TRAVÉS DE LA FIGURA DE LOS TUTORES DE APOYO EN RED,"75.693,73",75693.73,"17.393,00",17393.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS DE TUTORIZACIÓN A TRAVÉS DE LA FIGURA DE LOS TUTORES DE APOYO EN RED,"7.587,89",7587.89,"492,60",492.60,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS DE TUTORIZACIÓN A TRAVÉS DE LA FIGURA DE LOS TUTORES DE APOYO EN RED,"12.162,31",12162.31,"1.500,00",1500.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS DE TUTORIZACIÓN A TRAVÉS DE LA FIGURA DE LOS TUTORES DE APOYO EN RED,"4.666,21",4666.21,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS DE TUTORIZACIÓN A TRAVÉS DE LA FIGURA DE LOS TUTORES DE APOYO EN RED,"69.688,46",69688.46,"4.231,13",4231.13,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS DE TUTORIZACIÓN A TRAVÉS DE LA FIGURA DE LOS TUTORES DE APOYO EN RED,"47.388,84",47388.84,"11.145,17",11145.17,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS DE TUTORIZACIÓN A TRAVÉS DE LA FIGURA DE LOS TUTORES DE APOYO EN RED,"1.811,25",1811.25,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS DE TUTORIZACIÓN A TRAVÉS DE LA FIGURA DE LOS TUTORES DE APOYO EN RED,"34.334,85",34334.85,"4.209,67",4209.67,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS DE TUTORIZACIÓN A TRAVÉS DE LA FIGURA DE LOS TUTORES DE APOYO EN RED,"6.715,89",6715.89,"3.085,23",3085.23,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS DE TUTORIZACIÓN A TRAVÉS DE LA FIGURA DE LOS TUTORES DE APOYO EN RED,"5.392,27",5392.27,"696,96",696.96,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS DE TUTORIZACIÓN A TRAVÉS DE LA FIGURA DE LOS TUTORES DE APOYO EN RED,"41.753,14",41753.14,"11.828,35",11828.35,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",EQUIPAMIENTO TECNOLÓGICO E INFRAESTRUCTURA PARA CENTROS ASOCIADOS,"1.313.842,00",1313842.00,"298.797,32",298797.32,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",EQUIPAMIENTO TECNOLÓGICO E INFRAESTRUCTURA PARA CENTROS ASOCIADOS,"109.006,00",109006.00,"38.471,03",38471.03,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",EQUIPAMIENTO TECNOLÓGICO E INFRAESTRUCTURA PARA CENTROS ASOCIADOS,"504.682,00",504682.00,"71.685,63",71685.63,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",EQUIPAMIENTO TECNOLÓGICO E INFRAESTRUCTURA PARA CENTROS ASOCIADOS,"51.046,00",51046.00,"1.326,87",1326.87,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",EQUIPAMIENTO TECNOLÓGICO E INFRAESTRUCTURA PARA CENTROS ASOCIADOS,"391.694,00",391694.00,"258.633,40",258633.40,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",EQUIPAMIENTO TECNOLÓGICO E INFRAESTRUCTURA PARA CENTROS ASOCIADOS,"558.585,00",558585.00,"549.565,00",549565.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",EQUIPAMIENTO TECNOLÓGICO E INFRAESTRUCTURA PARA CENTROS ASOCIADOS,"54.199,00",54199.00,"9.380,00",9380.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",EQUIPAMIENTO TECNOLÓGICO E INFRAESTRUCTURA PARA CENTROS ASOCIADOS,"214.265,00",214265.00,"210.538,90",210538.90,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",EQUIPAMIENTO TECNOLÓGICO E INFRAESTRUCTURA PARA CENTROS ASOCIADOS,"23.884,00",23884.00,"1.326,85",1326.85,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",EQUIPAMIENTO TECNOLÓGICO E INFRAESTRUCTURA PARA CENTROS ASOCIADOS,"125.220,00",125220.00,"95.777,86",95777.86,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",FONDOS BIBLIOGRÁFICOS DE USO A DISTANCIA,"78.607,07",78607.07,"66.057,08",66057.08,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",EQUIPAMIENTO TECNOLÓGICO E INFRAESTRUCTURA PARA CENTROS ASOCIADOS,"418.257,00",418257.00,"97.807,17",97807.17,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIO INTEGRAL DE ATENCIÓN TÉCNICA A LA COMUNIDAD UNIVERSITARIA,"824.309,16",824309.16,"31.907,56",31907.56,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIO INTEGRAL DE ATENCIÓN TÉCNICA A LA COMUNIDAD UNIVERSITARIA,"149.637,17",149637.17,"5.865,36",5865.36,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIO INTEGRAL DE ATENCIÓN TÉCNICA A LA COMUNIDAD UNIVERSITARIA,"315.012,74",315012.74,"12.199,95",12199.95,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIO INTEGRAL DE ATENCIÓN TÉCNICA A LA COMUNIDAD UNIVERSITARIA,"22.139,78",22139.78,"938,46",938.46,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIO INTEGRAL DE ATENCIÓN TÉCNICA A LA COMUNIDAD UNIVERSITARIA,"303.800,14",303800.14,"11.965,34",11965.34,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIO INTEGRAL DE ATENCIÓN TÉCNICA A LA COMUNIDAD UNIVERSITARIA,"331.648,14",331648.14,"12.903,79",12903.79,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIO INTEGRAL DE ATENCIÓN TÉCNICA A LA COMUNIDAD UNIVERSITARIA,"146.864,60",146864.60,"5.630,75",5630.75,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIO INTEGRAL DE ATENCIÓN TÉCNICA A LA COMUNIDAD UNIVERSITARIA,"415.599,90",415599.90,"16.188,40",16188.40,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIO INTEGRAL DE ATENCIÓN TÉCNICA A LA COMUNIDAD UNIVERSITARIA,"20.957,36",20957.36,"703,85",703.85,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIO INTEGRAL DE ATENCIÓN TÉCNICA A LA COMUNIDAD UNIVERSITARIA,"144.703,62",144703.62,"5.630,75",5630.75,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIO INTEGRAL DE ATENCIÓN TÉCNICA A LA COMUNIDAD UNIVERSITARIA,"509.337,19",509337.19,"19.707,61",19707.61,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",DOTACIÓN DE EQUIPAMIENTO E INFRAESTRUCTURA INFORMÁTICA PARA LA SEDE CENTRAL Y LOS CENTROS ASOCIADOS DE LA UNIVERSIDAD,"1.694.699,42",1694699.42,"115.219,71",115219.71,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",DOTACIÓN DE EQUIPAMIENTO E INFRAESTRUCTURA INFORMÁTICA PARA LA SEDE CENTRAL Y LOS CENTROS ASOCIADOS DE LA UNIVERSIDAD,"307.639,46",307639.46,"21.180,26",21180.26,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",DOTACIÓN DE EQUIPAMIENTO E INFRAESTRUCTURA INFORMÁTICA PARA LA SEDE CENTRAL Y LOS CENTROS ASOCIADOS DE LA UNIVERSIDAD,"647.635,54",647635.54,"44.054,71",44054.71,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",DOTACIÓN DE EQUIPAMIENTO E INFRAESTRUCTURA INFORMÁTICA PARA LA SEDE CENTRAL Y LOS CENTROS ASOCIADOS DE LA UNIVERSIDAD,"45.517,24",45517.24,"3.388,87",3388.87,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",DOTACIÓN DE EQUIPAMIENTO E INFRAESTRUCTURA INFORMÁTICA PARA LA SEDE CENTRAL Y LOS CENTROS ASOCIADOS DE LA UNIVERSIDAD,"624.583,54",624583.54,"43.207,39",43207.39,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",DOTACIÓN DE EQUIPAMIENTO E INFRAESTRUCTURA INFORMÁTICA PARA LA SEDE CENTRAL Y LOS CENTROS ASOCIADOS DE LA UNIVERSIDAD,"681.836,33",681836.33,"46.596,30",46596.30,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",DOTACIÓN DE EQUIPAMIENTO E INFRAESTRUCTURA INFORMÁTICA PARA LA SEDE CENTRAL Y LOS CENTROS ASOCIADOS DE LA UNIVERSIDAD,"301.939,32",301939.32,"20.332,97",20332.97,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",DOTACIÓN DE EQUIPAMIENTO E INFRAESTRUCTURA INFORMÁTICA PARA LA SEDE CENTRAL Y LOS CENTROS ASOCIADOS DE LA UNIVERSIDAD,"854.432,97",854432.97,"58.457,04",58457.04,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",DOTACIÓN DE EQUIPAMIENTO E INFRAESTRUCTURA INFORMÁTICA PARA LA SEDE CENTRAL Y LOS CENTROS ASOCIADOS DE LA UNIVERSIDAD,"43.086,28",43086.28,"2.541,67",2541.67,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",DOTACIÓN DE EQUIPAMIENTO E INFRAESTRUCTURA INFORMÁTICA PARA LA SEDE CENTRAL Y LOS CENTROS ASOCIADOS DE LA UNIVERSIDAD,"297.496,58",297496.58,"20.332,97",20332.97,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",DOTACIÓN DE EQUIPAMIENTO E INFRAESTRUCTURA INFORMÁTICA PARA LA SEDE CENTRAL Y LOS CENTROS ASOCIADOS DE LA UNIVERSIDAD,"1.047.147,70",1047147.70,"71.164,92",71164.92,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS Y APLICACIONES PARA LA GESTIÓN DE LA UNIVERSIDAD,"1.705.704,74",1705704.74,"216.886,83",216886.83,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS Y APLICACIONES PARA LA GESTIÓN DE LA UNIVERSIDAD,"309.637,26",309637.26,"39.868,94",39868.94,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS Y APLICACIONES PARA LA GESTIÓN DE LA UNIVERSIDAD,"651.841,27",651841.27,"82.927,28",82927.28,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS Y APLICACIONES PARA LA GESTIÓN DE LA UNIVERSIDAD,"45.812,82",45812.82,"6.379,05",6379.05,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS Y APLICACIONES PARA LA GESTIÓN DE LA UNIVERSIDAD,"628.639,56",628639.56,"81.332,50",81332.50,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS Y APLICACIONES PARA LA GESTIÓN DE LA UNIVERSIDAD,"686.264,15",686264.15,"87.711,63",87711.63,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS Y APLICACIONES PARA LA GESTIÓN DE LA UNIVERSIDAD,"303.900,11",303900.11,"38.274,15",38274.15,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS Y APLICACIONES PARA LA GESTIÓN DE LA UNIVERSIDAD,"859.981,63",859981.63,"110.038,15",110038.15,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS Y APLICACIONES PARA LA GESTIÓN DE LA UNIVERSIDAD,"43.366,09",43366.09,"4.784,27",4784.27,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS Y APLICACIONES PARA LA GESTIÓN DE LA UNIVERSIDAD,"299.428,51",299428.51,"38.274,15",38274.15,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIOS Y APLICACIONES PARA LA GESTIÓN DE LA UNIVERSIDAD,"1.053.947,85",1053947.85,"133.959,39",133959.39,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
"UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA, UNED",SERVICIO INTEGRAL DE ATENCIÓN TÉCNICA A LA COMUNIDAD UNIVERSITARIA,"2.872.726,04",2872726.04,"235.322,94",235322.94,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3046)PO_EC11.pdf
