"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"A MARIÑA","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","5.959,00"
"A. VV. SANTA ISABEL","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.460,00"
"ADAMA","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.460,93"
"ADR. PRODER II - COMARCA DE PONTEVEDRA","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","5.220,00"
"ADTERRA","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","5.129,20"
"AEXPA","Prevención del abandono escolar y refuerzo de la formación inicial","5.360,06"
"AEXPA","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","2.159,79"
"AFAES","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","4.086,00"
"AFAES PORTANOVA","Prevención del abandono escolar y refuerzo de la formación inicial","6.000,00"
"AGROMAR","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","4.794,00"
"ALUME","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","5.533,00"
"AMFAR GALICIA","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","2.908,00"
"AMISVALU","Prevención del abandono escolar y refuerzo de la formación inicial","6.000,00"
"AMISVALU","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","5.959,00"
"AMMRR ""SAN PELAYO""","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.760,00"
"AMMRR ""STA ISABEL""","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.550,00"
"AMMRR ""XEITOSA""","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.760,00"
"APADER","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.928,29"
"ASOC. ""COLECTIVO REMONTE""","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","2.907,10"
"ASOC. AMAS DE CASA E CONS. ""LAXEIRO""","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.585,23"
"ASOC. APADER","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.760,00"
"ASOC. AXUDA Ó ENFERMO MENTAL A MARIÑA","Prevención del abandono escolar y refuerzo de la formación inicial","6.000,00"
"ASOC. BODEGAS ARTESANAS RÍAS BAIXAS","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","5.250,00"
"ASOC. CAÑÓN DE PAU","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.760,00"
"ASOC. CULT. ""AMIGOS DE SAN XORXE""","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.610,00"
"ASOC. CULTURAL DE MULLERES DE GROU","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.603,33"
"ASOC. CULTURAL NOITEBRA DE VALONGO","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.622,40"
"ASOC. DE MM CONS. E USA ""NUESTRA Sª DE 
AUGAS SANTAS""","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.460,00"
"ASOC. DE MM.RR. ""AS BUGINEIRAS""","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.610,00"
"ASOC. DE MM.RR. ""O CANTÓN""","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.603,40"
"ASOC. DE MM.RR. ""SANTO MONTILLÓN""","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.377,36"
