BENEFICIARIO,TIPO DE OPERACION,GASTO PUBLICO
LABORATORIOS GARCIA LOPEZ SL,Mejorar a empleabilidad de las personas desempleadas,"1057,71"
"LABORATORIOS GEBRO PHARMA, SA",Mejorar a empleabilidad de las personas desempleadas,"1497,74"
"LABORATORIOS GELOS, SL",Mejorar a empleabilidad de las personas desempleadas,"2703,85"
LABORATORIOS GENERIFARMA SL,Mejorar a empleabilidad de las personas desempleadas,"2056,31"
LABORATORIOS GLOWER SA,Mejorar a empleabilidad de las personas desempleadas,"266,6"
LABORATORIOS GOMEZ-BESER SL,Mejorar a empleabilidad de las personas desempleadas,"1345,77"
"LABORATORIOS GORESI-PHARMA, SL",Mejorar a empleabilidad de las personas desempleadas,"1670,95"
"LABORATORIOS HEIMP, SA",Mejorar a empleabilidad de las personas desempleadas,"1086,58"
LABORATORIOS HIPRA SA,Mejorar a empleabilidad de las personas desempleadas,"7892,08"
"LABORATORIOS INDAS,SAU",Mejorar a empleabilidad de las personas desempleadas,"5302,9"
LABORATORIOS INIBSA SA,Mejorar a empleabilidad de las personas desempleadas,"5698,87"
"LABORATORIOS INOXLAB, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1968,11"
LABORATORIOS INTERVET SA,Mejorar a empleabilidad de las personas desempleadas,"9172,63"
LABORATORIOS JIMENEZ SL,Mejorar a empleabilidad de las personas desempleadas,"963,27"
LABORATORIOS JUVENTUS SA,Mejorar a empleabilidad de las personas desempleadas,"4112,35"
LABORATORIOS KAPYDERM SL,Mejorar a empleabilidad de las personas desempleadas,1400
LABORATORIOS KARIZOO. SA,Mejorar a empleabilidad de las personas desempleadas,"832,95"
LABORATORIOS KIN SA,Mejorar a empleabilidad de las personas desempleadas,"4580,23"
"LABORATORIOS KLEIN COSMETICA,S.L.",Mejorar a empleabilidad de las personas desempleadas,"800,04"
LABORATORIOS LAC SL,Mejorar a empleabilidad de las personas desempleadas,"58,99"
LABORATORIOS LAFI SAL,Mejorar a empleabilidad de las personas desempleadas,"262,5"
LABORATORIOS LALLEMAND SL,Mejorar a empleabilidad de las personas desempleadas,"1564,82"
"LABORATORIOS LEO PHARMA, SA",Mejorar a empleabilidad de las personas desempleadas,"283,32"
LABORATORIOS LESVI SL SOCIEDAD UNIPERSONAL,Mejorar a empleabilidad de las personas desempleadas,"1196,63"
"LABORATORIOS LETI, SL SOCIEDAD UNIPERSONAL",Mejorar a empleabilidad de las personas desempleadas,1900
"LABORATORIOS LLORENS, SL",Mejorar a empleabilidad de las personas desempleadas,"7471,49"
LABORATORIOS M REAL SL,Mejorar a empleabilidad de las personas desempleadas,"346,65"
LABORATORIOS MARGO SL,Mejorar a empleabilidad de las personas desempleadas,"1161,57"
LABORATORIOS MAYMO SA,Mejorar a empleabilidad de las personas desempleadas,"7732,44"
LABORATORIOS MEDEA SA,Mejorar a empleabilidad de las personas desempleadas,"1201,75"
LABORATORIOS MEDICAMENTOS INTERNACIONALES SA,Mejorar a empleabilidad de las personas desempleadas,"1163,97"
LABORATORIOS MENARINI SA,Mejorar a empleabilidad de las personas desempleadas,"2389,31"
LABORATORIOS MICROAL SCA,Mejorar a empleabilidad de las personas desempleadas,"984,46"
"LABORATORIOS MICROBIOLOGICOS FEEDTECH, SL",Mejorar a empleabilidad de las personas desempleadas,"504,63"
LABORATORIOS MILO SA,Mejorar a empleabilidad de las personas desempleadas,1660
LABORATORIOS MUNUERA SL,Mejorar a empleabilidad de las personas desempleadas,"971,12"
LABORATORIOS NAVES SL,Mejorar a empleabilidad de las personas desempleadas,"493,24"
LABORATORIOS NEUSC SA,Mejorar a empleabilidad de las personas desempleadas,"2764,62"
LABORATORIOS NORMON SA,Mejorar a empleabilidad de las personas desempleadas,"1573,33"
LABORATORIOS NORTE GRUPO QUALITY CONTROL SL,Mejorar a empleabilidad de las personas desempleadas,"1291,47"
LABORATORIOS NOVO-PHARMA SL,Mejorar a empleabilidad de las personas desempleadas,"876,59"
"LABORATORIOS ORDESA, SL",Mejorar a empleabilidad de las personas desempleadas,"969,48"
"LABORATORIOS OSILA, SL",Mejorar a empleabilidad de las personas desempleadas,"842,91"
LABORATORIOS OVEJERO SA,Mejorar a empleabilidad de las personas desempleadas,475
"LABORATORIOS PENTADENTAL S. COOP. MAD., EN CONSTITUCINN",Mejorar a empleabilidad de las personas desempleadas,"501,27"
LABORATORIOS PEREZ GIMENEZ SA,Mejorar a empleabilidad de las personas desempleadas,"179,92"
"LABORATORIOS PORTA,S.L.",Mejorar a empleabilidad de las personas desempleadas,"446,64"
"LABORATORIOS Q PHARMA, SL",Mejorar a empleabilidad de las personas desempleadas,"1779,92"
"LABORATORIOS QUIMICOS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"283,32"
"LABORATORIOS RANBAXY, SL",Mejorar a empleabilidad de las personas desempleadas,"4170,97"
"LABORATORIOS RAYT, SA",Mejorar a empleabilidad de las personas desempleadas,"786,21"
LABORATORIOS REUNIDOS SL,Mejorar a empleabilidad de las personas desempleadas,"2450,75"
LABORATORIOS ROFIXO SA,Mejorar a empleabilidad de las personas desempleadas,"566,64"
"LABORATORIOS ROIG LLORENS, SL",Mejorar a empleabilidad de las personas desempleadas,"1796,57"
LABORATORIOS RUBIO SA,Mejorar a empleabilidad de las personas desempleadas,"424,98"
"LABORATORIOS S.A.L.V.A.T., SA",Mejorar a empleabilidad de las personas desempleadas,"2567,24"
LABORATORIOS SANOR SA,Mejorar a empleabilidad de las personas desempleadas,"3794,8"
LABORATORIOS SAPHIR SA,Mejorar a empleabilidad de las personas desempleadas,"481,62"
LABORATORIOS SEPULVEDA SL,Mejorar a empleabilidad de las personas desempleadas,"136,91"
LABORATORIOS SERRA PAMIES SA,Mejorar a empleabilidad de las personas desempleadas,"2509,7"
LABORATORIOS SIRGA SA,Mejorar a empleabilidad de las personas desempleadas,"1345,77"
LABORATORIOS SPARCHIM SL,Mejorar a empleabilidad de las personas desempleadas,"79,92"
LABORATORIOS STIEFEL ESPANA SA,Mejorar a empleabilidad de las personas desempleadas,"18081,11"
LABORATORIOS SYVA SA,Mejorar a empleabilidad de las personas desempleadas,"1453,14"
LABORATORIOS TOLEDO SL,Mejorar a empleabilidad de las personas desempleadas,150
LABORATORIOS UMA SL,Mejorar a empleabilidad de las personas desempleadas,"403,74"
LABORATORIOS VILARDELL SA,Mejorar a empleabilidad de las personas desempleadas,"4039,66"
"LABORATORIOS VIRENS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1293,82"
"LABORATORIOS VITROS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"441,48"
LABORATORIOS-NATURALY SL,Mejorar a empleabilidad de las personas desempleadas,"1130,89"
"LABORATORIS ADHOC, S.L.",Mejorar a empleabilidad de las personas desempleadas,"495,76"
LABORATORIS DIAAS. SL,Mejorar a empleabilidad de las personas desempleadas,700
"LABORATORIS DICANA, SL",Mejorar a empleabilidad de las personas desempleadas,"3943,64"
"LABORATORIS SANIFIT, S.L.",Mejorar a empleabilidad de las personas desempleadas,"391,02"
LABORATORIS VILADELL SL,Mejorar a empleabilidad de las personas desempleadas,"1033,35"
LABORCANT E.T.T. SL,Mejorar a empleabilidad de las personas desempleadas,"1630,03"
"LABORCONTROL GEOSINTETICOS, SL",Mejorar a empleabilidad de las personas desempleadas,"946,52"
LABORDAL SL,Mejorar a empleabilidad de las personas desempleadas,"1704,96"
LABORDE BROTHERS SL,Mejorar a empleabilidad de las personas desempleadas,"212,52"
"LABOREM DERTUSA, S.L",Mejorar a empleabilidad de las personas desempleadas,"355,57"
LABORES AGRICOLAS LA VERA DE TENERIFE SA,Mejorar a empleabilidad de las personas desempleadas,"73,18"
LABORES ERMITA DE HONTANARES SL,Mejorar a empleabilidad de las personas desempleadas,"568,91"
"LABORFASHION,S.L.",Mejorar a empleabilidad de las personas desempleadas,"42,48"
"LABORIS EXTERNA E.T.T., S.L.",Mejorar a empleabilidad de las personas desempleadas,100
LABORIS PREVENCION Y CONSULTORIA SA,Mejorar a empleabilidad de las personas desempleadas,"1128,56"
"LABORITAS, SL",Mejorar a empleabilidad de las personas desempleadas,"575,06"
LABORLA VIDEO SL,Mejorar a empleabilidad de las personas desempleadas,"2870,44"
LABORLEX ASESORES S.L.,Mejorar a empleabilidad de las personas desempleadas,"3480,07"
LABOR-MAFER SL,Mejorar a empleabilidad de las personas desempleadas,"51,92"
LABORMAN ETT S.A.U,Mejorar a empleabilidad de las personas desempleadas,"12729,37"
LABORPAR SL,Mejorar a empleabilidad de las personas desempleadas,"465,07"
"LABORS ARSETT, EMPRESA DE TREBALL TEMPORAL, SL",Mejorar a empleabilidad de las personas desempleadas,"214,82"
"LABORSERVIS, SA",Mejorar a empleabilidad de las personas desempleadas,"365,92"
LABORSYS ASESORES SL,Mejorar a empleabilidad de las personas desempleadas,"1161,6"
"LABORZOS INMUEBLES, SL",Mejorar a empleabilidad de las personas desempleadas,"1634,85"
LABOSER SL,Mejorar a empleabilidad de las personas desempleadas,"2691,54"
LABOSUR SA,Mejorar a empleabilidad de las personas desempleadas,"117,14"
LABOTEST SL,Mejorar a empleabilidad de las personas desempleadas,"1319,18"
LABOUR ASOCIADOS CONSULTORIA SOCIAL LABORAL E INTERNACI,Mejorar a empleabilidad de las personas desempleadas,"2925,45"
LABOUR PREVENCION DE RIESGOS SL,Mejorar a empleabilidad de las personas desempleadas,400
"LABRADO ORTEGA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1261,34"
LABRADOR VALERO SL,Mejorar a empleabilidad de las personas desempleadas,"1068,77"
"LABRALIA, SL",Mejorar a empleabilidad de las personas desempleadas,"266,61"
LABRAS Y MADERA SL,Mejorar a empleabilidad de las personas desempleadas,"741,72"
"LABSHOES TECNOLOGIES,S.L.",Mejorar a empleabilidad de las personas desempleadas,"2557,02"
"LABSIB, SA",Mejorar a empleabilidad de las personas desempleadas,"68,82"
LABWARE SA,Mejorar a empleabilidad de las personas desempleadas,"2833,38"
"LABYFIS, SL",Mejorar a empleabilidad de las personas desempleadas,"967,99"
LABYGEMA SL,Mejorar a empleabilidad de las personas desempleadas,"1015,23"
"LAC FUTUR PROMOCIONES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1309,99"
"LACA MORENO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"295,73"
LACADO DEL ALUMINIO SA,Mejorar a empleabilidad de las personas desempleadas,"1118,21"
LACADO Y ANODIZADO DEL ALUMINIO SA,Mejorar a empleabilidad de las personas desempleadas,"909,99"
LACADOS BAREA SL,Mejorar a empleabilidad de las personas desempleadas,"996,57"
LACADOS DE CASTILLA SA,Mejorar a empleabilidad de las personas desempleadas,"1446,05"
LACADOS DEL VALLES SA,Mejorar a empleabilidad de las personas desempleadas,"3043,6"
"LACADOS E BARNIZADOS XAGOBE, SL",Mejorar a empleabilidad de las personas desempleadas,"911,09"
"LACADOS ISIDRO NAVARRO,S.L.",Mejorar a empleabilidad de las personas desempleadas,"993,88"
LACADOS NEA SL,Mejorar a empleabilidad de las personas desempleadas,"1966,42"
LACADOS PEREZ HERRERO SL,Mejorar a empleabilidad de las personas desempleadas,"1596,57"
LACADOS TORRE PACHECO SL,Mejorar a empleabilidad de las personas desempleadas,"831,15"
"LACADOS Y BARNIZADOS BERGANTINOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"524,1"
"LACADOS Y BARNIZADOS JASA, SL",Mejorar a empleabilidad de las personas desempleadas,"266,5"
LACADOS-SAM SA,Mejorar a empleabilidad de las personas desempleadas,"178,71"
LACANE S.L.,Mejorar a empleabilidad de las personas desempleadas,"371,84"
"LACAPURI, S.L.",Mejorar a empleabilidad de las personas desempleadas,"127,47"
"LACAR, C.B.",Mejorar a empleabilidad de las personas desempleadas,"1440,88"
LACASA MARANON SL,Mejorar a empleabilidad de las personas desempleadas,"1295,09"
LACASAUTO SL,Mejorar a empleabilidad de las personas desempleadas,1860
LACASTA MENDIA PILAR Y MOLINA BECERRO ANTONIO,Mejorar a empleabilidad de las personas desempleadas,"586,92"
LACATS CIFRES GRAU SL,Mejorar a empleabilidad de las personas desempleadas,"1274,94"
"LACATS DE LA RIBERA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"525,79"
"LACATS GALI, SL",Mejorar a empleabilidad de las personas desempleadas,"1162,72"
"LACATS I VERNISSATS, DAIGAR, SL",Mejorar a empleabilidad de las personas desempleadas,"1519,88"
"LACATS MICHAVILA, SL",Mejorar a empleabilidad de las personas desempleadas,"724,82"
"LACEC, SA",Mejorar a empleabilidad de las personas desempleadas,"1266,73"
"LACELUNA, C.L.",Mejorar a empleabilidad de las personas desempleadas,"788,54"
LACER SA,Mejorar a empleabilidad de las personas desempleadas,"6791,86"
LACERA CARGO SL,Mejorar a empleabilidad de las personas desempleadas,"676,59"
LACERA EMPRESA DE LIMPIEZA S.A,Mejorar a empleabilidad de las personas desempleadas,"17442,7"
LACERA SERVICIOS Y MANTENIMIENTO S.A.,Mejorar a empleabilidad de las personas desempleadas,"21094,84"
LACGENIN SL,Mejorar a empleabilidad de las personas desempleadas,"692,6"
LACHU E HIJOS SL,Mejorar a empleabilidad de las personas desempleadas,"3258,79"
"LACIANA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1876,59"
"LACISA PRODUCCIONES GRAFICAS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"71,11"
"LACKANTON EDIFICACIONES, SL",Mejorar a empleabilidad de las personas desempleadas,"902,23"
"LACKESTUC,SL",Mejorar a empleabilidad de las personas desempleadas,"239,86"
LACKEY SA,Mejorar a empleabilidad de las personas desempleadas,"2176,88"
LACLA ARTE ESPACIO S.L.,Mejorar a empleabilidad de las personas desempleadas,"493,33"
LACLAVE CREACION SL,Mejorar a empleabilidad de las personas desempleadas,"64,38"
LACMAR SL,Mejorar a empleabilidad de las personas desempleadas,"3602,78"
"LACOBA Y PEREZ SERVICIOS INTEGRALES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"824,57"
"LACOBARUFAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"236,67"
LACOMBA ORTESISTAS PROTESISTAS SL,Mejorar a empleabilidad de las personas desempleadas,"214,85"
"LACOPIE, S.L.",Mejorar a empleabilidad de las personas desempleadas,1020
LACOR LIMPIEZA ACONDICIONAMIENTO Y RESTAURACION SA,Mejorar a empleabilidad de las personas desempleadas,"193,3"
LACORROBLA 2004 SL,Mejorar a empleabilidad de las personas desempleadas,1500
LACOS HARDWARE S.L.,Mejorar a empleabilidad de las personas desempleadas,"883,33"
LACR IS Y MOLINA SL,Mejorar a empleabilidad de las personas desempleadas,"51,06"
LACREM SA,Mejorar a empleabilidad de las personas desempleadas,"1383,25"
LACRIMOSA SL,Mejorar a empleabilidad de las personas desempleadas,"255,57"
LACTEAS CARACOSTA S.L.U.,Mejorar a empleabilidad de las personas desempleadas,"737,77"
LACTEAS COBREROS SA,Mejorar a empleabilidad de las personas desempleadas,"1235,98"
LACTEAS GARCIA BAQUERO SA,Mejorar a empleabilidad de las personas desempleadas,600
LACTEAS RUMA SL,Mejorar a empleabilidad de las personas desempleadas,"695,09"
LACTEAS SERRADILLANA SL,Mejorar a empleabilidad de las personas desempleadas,"3510,75"
"LACTEAS ZAMORO, SL",Mejorar a empleabilidad de las personas desempleadas,1900
LACTELUC SL,Mejorar a empleabilidad de las personas desempleadas,"991,62"
LACTEOS BORDATXO SL,Mejorar a empleabilidad de las personas desempleadas,1319
"LACTEOS CAMPINA,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1019,78"
LACTEOS CAPRINOS SA,Mejorar a empleabilidad de las personas desempleadas,"373,26"
LACTEOS DE NAVARRA SL,Mejorar a empleabilidad de las personas desempleadas,"653,33"
LACTEOS DONCEL SL,Mejorar a empleabilidad de las personas desempleadas,"1046,72"
LACTEOS FILLOY_VAL DE FORCAREY SL,Mejorar a empleabilidad de las personas desempleadas,"508,08"
LACTEOS INDUSTRIALES AGRUPADOS SA,Mejorar a empleabilidad de las personas desempleadas,"2120,93"
LACTEOS KATXA CB,Mejorar a empleabilidad de las personas desempleadas,"104,49"
LACTEOS LA GOLETA SL,Mejorar a empleabilidad de las personas desempleadas,"17,76"
LACTEOS LOS PEDROCHES SL,Mejorar a empleabilidad de las personas desempleadas,300
LACTEOS MENDI SL,Mejorar a empleabilidad de las personas desempleadas,"2228,31"
LACTEOS PEREZ-OLVEIRA SA,Mejorar a empleabilidad de las personas desempleadas,"1113,32"
LACTEOS PLASENCIA SL,Mejorar a empleabilidad de las personas desempleadas,"3733,83"
LACTEOS SAVICOL S COOP,Mejorar a empleabilidad de las personas desempleadas,1800
LACTEOS SEGARRA SL,Mejorar a empleabilidad de las personas desempleadas,"211,13"
"LACTICS DEL MONTSENY, SL",Mejorar a empleabilidad de las personas desempleadas,1900
"LACTICS ROCACORBA, SL",Mejorar a empleabilidad de las personas desempleadas,"578,44"
"LACTIUM FONZ, S.L.",Mejorar a empleabilidad de las personas desempleadas,600
"LACTO GANADERA RIO MAYOR, SL",Mejorar a empleabilidad de las personas desempleadas,"1660,66"
LACTOFRESC 2001 SL,Mejorar a empleabilidad de las personas desempleadas,"1266,71"
LACUEVA & FERRERO SL,Mejorar a empleabilidad de las personas desempleadas,"1796,57"
LACUNARIA SERVICIOS S.L.,Mejorar a empleabilidad de las personas desempleadas,"705,91"
LACUNZA ESCUELA INTERNACIONAL SL,Mejorar a empleabilidad de las personas desempleadas,"221,93"
LACY TACONES SL,Mejorar a empleabilidad de las personas desempleadas,"382,93"
"LADA LUNA EXCAVACIONES, S.L.U.",Mejorar a empleabilidad de las personas desempleadas,"128,83"
"LADAIX DOS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"945,55"
LADAL SA,Mejorar a empleabilidad de las personas desempleadas,1425
LADAPOOL SL,Mejorar a empleabilidad de las personas desempleadas,"854,65"
LADBROKES BETTING AND GAMING SPAIN S.A.U.,Mejorar a empleabilidad de las personas desempleadas,"595,52"
LADDES WORKS SL,Mejorar a empleabilidad de las personas desempleadas,"1178,55"
LADECAM INVERSIONES SL,Mejorar a empleabilidad de las personas desempleadas,"333,35"
LADEGREM 2000 SL,Mejorar a empleabilidad de las personas desempleadas,1000
LADEL SA,Mejorar a empleabilidad de las personas desempleadas,"1486,84"
"LADERA SAGRADA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1343,41"
LADISLAO LAGUNA SA,Mejorar a empleabilidad de las personas desempleadas,"759,92"
LADISNA S.L.,Mejorar a empleabilidad de las personas desempleadas,"4307,19"
"LADITA 2008, S.L.",Mejorar a empleabilidad de las personas desempleadas,"125,13"
LADMI SL,Mejorar a empleabilidad de las personas desempleadas,"1345,77"
"LADO LORENZO,S.L.",Mejorar a empleabilidad de las personas desempleadas,"333,49"
"LADOS, DISENO Y PUBLICIDAD, S.L.",Mejorar a empleabilidad de las personas desempleadas,"479,87"
LADRILLERAS IBICENCAS SA,Mejorar a empleabilidad de las personas desempleadas,"1373,5"
LADRILLERIA TECNICA SA,Mejorar a empleabilidad de las personas desempleadas,"1266,73"
LADRILLEROS VERTICALES SL,Mejorar a empleabilidad de las personas desempleadas,"362,8"
LADRILLO ALZADO CONSTRUCCIONES SL,Mejorar a empleabilidad de las personas desempleadas,"1881,06"
"LADRILLOS DE MURCIA 2008, S.L.L.",Mejorar a empleabilidad de las personas desempleadas,"319,98"
LADRILLOS DEL SUR SL,Mejorar a empleabilidad de las personas desempleadas,"1266,73"
LADRILLOS LA ALAMEDA SL,Mejorar a empleabilidad de las personas desempleadas,"900,01"
LADRILLOS LAS NIEVES SL LABORAL,Mejorar a empleabilidad de las personas desempleadas,"669,93"
LADRILLOS VIRGEN DE LAS NIEVES DE BAILEN SL,Mejorar a empleabilidad de las personas desempleadas,"3072,96"
"LADUR EXPRESS, SL",Mejorar a empleabilidad de las personas desempleadas,"1453,28"
LADY ANNE ANTIGUEDADES SL,Mejorar a empleabilidad de las personas desempleadas,"161,14"
LADY ASSISTANCE SL,Mejorar a empleabilidad de las personas desempleadas,"868,78"
"LADY BIONDA, SL",Mejorar a empleabilidad de las personas desempleadas,"538,29"
"LADY FINGERS, SL",Mejorar a empleabilidad de las personas desempleadas,"1514,79"
LADY FITNESS SL,Mejorar a empleabilidad de las personas desempleadas,"836,33"
LADY RUSS MARBELLA SL,Mejorar a empleabilidad de las personas desempleadas,"18,88"
LAENK SERVICIOS EMPRESARIALES SLL,Mejorar a empleabilidad de las personas desempleadas,"1204,11"
LAERA SATRUSTEGUI JUANA MARIA Y MARIA ISABEL DE,Mejorar a empleabilidad de las personas desempleadas,1900
LAERDALESPANA SL,Mejorar a empleabilidad de las personas desempleadas,"134,55"
LAERTES SA DE EDICIONES,Mejorar a empleabilidad de las personas desempleadas,420
"LAES 2008, S.L.U.",Mejorar a empleabilidad de las personas desempleadas,"203,02"
"LAES NEXIA AC, SL",Mejorar a empleabilidad de las personas desempleadas,"932,59"
LAES NEXIA AUDITORES SA,Mejorar a empleabilidad de las personas desempleadas,"212,49"
"LAES NEXIA AUDITORES, SL",Mejorar a empleabilidad de las personas desempleadas,"96,76"
LAES NEXIA OUTSOURCING SL,Mejorar a empleabilidad de las personas desempleadas,"1736,76"
"LAFABRIQUE LAB-SHOP, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2427,39"
LAFARGA-CASTILLO ASSOCIATS SL,Mejorar a empleabilidad de las personas desempleadas,1425
"LAFARGE CEMENTOS, SA",Mejorar a empleabilidad de las personas desempleadas,"1629,09"
"LAFCARR PROJECT & DESIGN, SL",Mejorar a empleabilidad de las personas desempleadas,100
"LAFICO GABINETE DE GESTION, SL",Mejorar a empleabilidad de las personas desempleadas,"297,51"
LAFICON TECNICA SL,Mejorar a empleabilidad de las personas desempleadas,"476,45"
"LAFIMOB, SL",Mejorar a empleabilidad de las personas desempleadas,"8496,89"
LAFISCONT ASESORES SL,Mejorar a empleabilidad de las personas desempleadas,"364,48"
LAFISUR SL,Mejorar a empleabilidad de las personas desempleadas,"559,53"
LAFITE JIMENEZ Y SEGURA SL,Mejorar a empleabilidad de las personas desempleadas,"169,93"
LAFITT S.A.,Mejorar a empleabilidad de las personas desempleadas,"771,11"
"LAFONT TECNOLOGIA Y DESARROLLO,S.L.",Mejorar a empleabilidad de las personas desempleadas,"104,41"
"LAFORET RUIZ,S.L.",Mejorar a empleabilidad de las personas desempleadas,1700
LAFORJA INTERNACIONAL SA,Mejorar a empleabilidad de las personas desempleadas,"1266,56"
"LAFORMULA NUMENOR, S.L.",Mejorar a empleabilidad de las personas desempleadas,"349,4"
LAFORR SL,Mejorar a empleabilidad de las personas desempleadas,"2426,54"
"LAFOUR VENDING, SL",Mejorar a empleabilidad de las personas desempleadas,"213,22"
LAFUENTE & FDEZ DE VILLALOBOS,Mejorar a empleabilidad de las personas desempleadas,"1261,48"
"LAFUENTE CORREDORES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1048,26"
LAFUENTE ESCENOGRAFIA SL,Mejorar a empleabilidad de las personas desempleadas,"213,22"
LAFUENTE SEGOVIA SL,Mejorar a empleabilidad de las personas desempleadas,"1496,57"
"LAFUENTE SERVEIS SANITARIS, SL",Mejorar a empleabilidad de las personas desempleadas,"802,26"
LAFUENTE SUCESORES SL,Mejorar a empleabilidad de las personas desempleadas,1900
"LAFYNO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1972,84"
LAG TEN SL UNIPERSONAL,Mejorar a empleabilidad de las personas desempleadas,"153,43"
LAGA 46 SL,Mejorar a empleabilidad de las personas desempleadas,1700
"LAGA BISUTERIA, SL",Mejorar a empleabilidad de las personas desempleadas,"594,87"
LAGAL SHOES SL,Mejorar a empleabilidad de las personas desempleadas,"1596,57"
"LAGAR DE PARMA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"196,67"
"LAGAR DE PLATA, S.L.U.",Mejorar a empleabilidad de las personas desempleadas,"18,88"
LAGAR SA,Mejorar a empleabilidad de las personas desempleadas,"4966,69"
LAGAR Y NIETO SL,Mejorar a empleabilidad de las personas desempleadas,"1149,79"
LAGARTIJO SL,Mejorar a empleabilidad de las personas desempleadas,"644,29"
LAGARTIN E HIJOS SL,Mejorar a empleabilidad de las personas desempleadas,"1314,93"
"LAGENFOR, SA",Mejorar a empleabilidad de las personas desempleadas,"361,17"
LAGERMAUS SL,Mejorar a empleabilidad de las personas desempleadas,"348,91"
LAGO ASESORAMIENTO Y GESTION SL UNIP,Mejorar a empleabilidad de las personas desempleadas,"117,84"
LAGO AVES HUEVOS Y CAZA SA,Mejorar a empleabilidad de las personas desempleadas,"1973,32"
LAGO DURAN SL,Mejorar a empleabilidad de las personas desempleadas,"42,48"
LAGO GARCIA ASESORIA SL,Mejorar a empleabilidad de las personas desempleadas,"1832,53"
LAGOMAR SDAD COOP,Mejorar a empleabilidad de las personas desempleadas,"2376,97"
"LAGOMOVIL,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1266,57"
LAGOON SYSTEMS SL,Mejorar a empleabilidad de las personas desempleadas,"804,37"
"LAGOS DEL SUR VIAJES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"989,34"
LAGOS ESTUDIO JURIDICO Y FISCAL SL,Mejorar a empleabilidad de las personas desempleadas,"896,75"
LAGOTEL SA,Mejorar a empleabilidad de las personas desempleadas,300
LAGRADA PRODUCCIONES TEATRALES SL,Mejorar a empleabilidad de las personas desempleadas,"43,68"
"LAGRANJA DESIGN,S.L.",Mejorar a empleabilidad de las personas desempleadas,"779,13"
"LAGRIMAS NEGRAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"436,53"
"LAGROS MEDICA, S.L.",Mejorar a empleabilidad de las personas desempleadas,140
LAGT CANTABRA SL,Mejorar a empleabilidad de las personas desempleadas,"286,59"
